"","X","id","pname","gender","fname","canonical_fname","oname","born_on_year","begin_on_year","begin_on_month","begin_on_day","end_on_year","end_on_month","end_on_day","nationality","fname_code"
"4692",20591,13701,"Peter Rochegune Munch",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Sixteenth Ordinary Session of the Assembly, part two",1870,NA,NA,NA,NA,NA,NA,"",NA
"4693",20592,13701,"Peter Rochegune Munch",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Seventeenth Ordinary Session of the Assembly",1870,NA,NA,NA,NA,NA,NA,"",NA
"4694",20593,13701,"Peter Rochegune Munch",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Special Session of the Assembly Convened for the Purpose of Considering the Request of the Kingdom of Egypt for Admission to the League of Nations",1870,NA,NA,NA,NA,NA,NA,"",NA
"4695",20594,13701,"Peter Rochegune Munch",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Eighteenth Ordinary Session of the Assembly",1870,NA,NA,NA,NA,NA,NA,"",NA
"4696",20595,13701,"Peter Rochegune Munch",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Nineteenth Ordinary Session of the Assembly",1870,NA,NA,NA,NA,NA,NA,"",NA
"4697",20596,13702,"Andreas de Oldenburg",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: First Ordinary Session of the Assembly",1877,NA,NA,NA,NA,NA,NA,"",NA
"4698",20597,13702,"Andreas de Oldenburg",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Second Ordinary Session of the Assembly",1877,NA,NA,NA,NA,NA,NA,"",NA
"4699",20598,13702,"Andreas de Oldenburg",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Third Ordinary Session of the Assembly",1877,NA,NA,NA,NA,NA,NA,"",NA
"4700",20599,13702,"Andreas de Oldenburg",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Fourth Ordinary Session of the Assembly",1877,NA,NA,NA,NA,NA,NA,"",NA
"4701",20600,13702,"Andreas de Oldenburg",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Fifth Ordinary Session of the Assembly",1877,NA,NA,NA,NA,NA,NA,"",NA
"4702",20601,13702,"Andreas de Oldenburg",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Sixth Ordinary Session of the Assembly",1877,NA,NA,NA,NA,NA,NA,"",NA
"4703",20602,13702,"Andreas de Oldenburg",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Special Session of the Assembly",1877,NA,NA,NA,NA,NA,NA,"",NA
"4704",20603,13702,"Andreas de Oldenburg",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Seventh Ordinary Session of the Assembly",1877,NA,NA,NA,NA,NA,NA,"",NA
"4705",20604,13702,"Andreas de Oldenburg",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Eighth Ordinary Session of the Assembly",1877,NA,NA,NA,NA,NA,NA,"",NA
"4706",20605,13703,"Gustav Rasmussen",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Fifteenth Ordinary Session of the Assembly",1895,NA,NA,NA,NA,NA,NA,"",NA
"4707",20606,13703,"Gustav Rasmussen",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Special Session of the Assembly Convened in Virtue of Article 15 of the Covenant and in Accordance with the Assembly of September 27th, 1934",1895,NA,NA,NA,NA,NA,NA,"",NA
"4708",20607,13703,"Gustav Rasmussen",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Sixteenth Ordinary Session of the Assembly, part one",1895,NA,NA,NA,NA,NA,NA,"",NA
"4709",20608,13704,"Tulio Franco Franco",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Seventh Ordinary Session of the Assembly",1889,NA,NA,NA,NA,NA,NA,"",NA
