"pname","1919-01-01","1920-01-01","1921-01-01","1922-01-01","1923-01-01","1924-01-01","1925-01-01","1926-01-01","1927-01-01","1928-01-01","1929-01-01","1930-01-01","1931-01-01","1932-01-01","1933-01-01","1934-01-01","1935-01-01","1936-01-01","1937-01-01","1938-01-01","1939-01-01","1940-01-01","1941-01-01","1942-01-01","1943-01-01","1944-01-01","1945-01-01","1946-01-01","1947-01-01"
"Charles Bonfils","","","","","","","","","","","0.5","0.5","","","","","","","","","","","","","","","","",""
"Charles Bothmer","","","","","","","","","7","7","7","","","","","","","","","","","","","","","","","",""
"Charles Camp Tarelli","","","","","","","","","","","","","","","","","7","","","","","","","","","","","",""
"Charles Eugène Aloïs Marie Smets","","","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","10, 8","10","10","","","","","","","",""
"Charles Henry Le Bosquet","","","","","","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","","","","","","",""
"Charles Louis Mottier","","","","","","7","7","7","7","7","7","7","7","7, 6","6","6","6","6","6","6","6","6","","","","","","",""
"Charles Thadée Marie-Madeleine Oscar Havard","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","",""
"Chester Purves","","","","","","7","7","","0.5","0.5","0.5","0.5","","","","","","0.5","8","8","8","8","","","","","","",""
"Chifeng Hsia","","","","","8","8","8","8","8","8","","","","","","","","","","","","","","","","","","",""
"Chikao/Chikas Fujisawa","","8","8","8","8","","","","","","","","","","","","","","","","","","","","","","","",""
"Christian Olsen","","","","","8","8","","","","","","","","","","","","","","","","","","","","","","",""
"Christine Bertha Margarethe Mayrhofer","","","","","","","","","","6","6","6","6","6","6","6","6","6","6","6","6","","","","","","","",""
"Christo Danailoff","","","","","","","","","","","","","","","8","","","","","","","","","","","","","",""
"Clara Slee née Baumann","","","","5","5","","","","","","","","","","","","","","","","","","","","","","","",""
"Clara Wilmott","","6","6","6","","","","","","","","","","","","","","","","","","","","","","","","",""
"Claude Mowbray Berkeley","","","","","","","","","","","","","","","","","","7","7","7","7","7","","","","","","",""
"Claude William Guilleraud","","","0.5","0.5","","","0.5","","","","","","","","","","","","","","","","","","","","","",""
"Clémence Ramnoux","","","","","","","","","","0.5","","","","","","","","","","","","","","","","","","",""
"Clive Hardy","","7","7","","","","","","","","","","","","","","","","","","","","","","","7","7","7",""
"Colonel  C. P.  Meredith","","","","","","","","","8","","","","","","","","","","","","","","","","","","","",""
"Colonel Attilio Matricardi","","","","","","","","","","","","","","","6","6","6","","","","","","","","","","","",""
"Commendatore Prof. Dionisio Anzilotti","","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Constance Babianska","","","","","","","","","","","7","7","","","","","","","","","","","","","","","","",""
"Constance Hayward","","","","","","","","","","","","","","","","","","","","8","","","","","","","","",""
"Constance Myra Harris","","","","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","","","","","","9","9"
"Constantin de Savitch","","","","","","","","","","","0.5","","","","","","","","","","","","","","","","","",""
"Constantin Eustathiades","","","","","","","","","","","","","","","","8","","","","","","","","","","","","",""
"Constantin Visoianu","","","","","","","","","","","","","8","8","8","","","","","","","","","","","","","",""
"Constantin Vulcan","","","","","","","","","","","","","","","","","","8","","","","","","","","","","",""
"Constantine Francis MacGuire","","","","","","","","","","","","","","","","","","","","","","","","","8","8","8","8",""
"Count Camillo Spingardi","","8","8","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cristobal Rodriguez","","","","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","","","",""
"Cuno de Watteville","","","","8","8","","","","","","","","","","","","","","","","","","","","","","","",""
"D. Emilio Hardisson y Pizarrosso","","","","","","","","","","8","","","","","","","","","","","","","","","","","","",""
"D.D. Rosca","","","","","","","","","","","","","8","","","","","","","","","","","","","","","",""
"D.M.  Cayzer","","","8","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dagny Gran","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","6"
"Dame Rachel Eleanor Crowdy","8","8","8","8, 9","9","9","9","9","9","9","9","9","9","","","","","","","","","","","","","","","",""
"Daniel Henao","","","","","","","","","","","","","","","","","","","","8","8","","","","","","","",""
"Daniel Toledano","","7","7","7","","","","","","","","","","","","","","","","","","","","","","","","",""
"Daniele Vare","","8","8","8","8","","","","","","","","","","","","","","","","","","","","","","","",""
"Dattatraya Narayan Naravane","","","","","","","","","","","","","","","","","","","","8","","","","","","","","",""
"David Sachs","","","","","","","","","","","","","7","","","","","","","7","","","","","","","","",""
"David Unwin","","","","","","","","","","","","","","","","","","","","8","","","","","","","","",""
"David William Alun Llewellyn","","","","","","","","","","","","","","","","","","","7, 0.5","","","","","","","","","",""
"de Chenneviere de Radigues","","","","","","","","","","","","","","","","","8","","","","","","","","","","","",""
"de Mestral Combremont","","","7","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Demaurex","","","7","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Denis-Claude Veillet-Lavallee","","","","","","","","","","0.5","0.5","0.5","","","","","","","","","","","","","","","","",""
"Denis Joseph Coffey","","","","","","","","","","","","","","","","","","","8","","","","","","","","","",""
"Denis Kralik","","","","","","","","","","","7","7","","","","","","","","","","","","","","","","",""
"Denys Noël  Crapon","","","","","","","","","","","","","","","8","8","8","8","8","","","","","","","","","",""
"Dermot Bowers","","","","","","","","","","","","","","","","","8","","","","","","","","","","","",""
"Detcho Dimitroff","","","","","","","","","","","","","8","8","","","","","","","","","","","","","","",""
"Diana D. Kilroe","","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","","","","","","",""
"Dora Brukowsky","","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","","","","","","","",""
"Doris Mary de Zouche","","","","","","7","7","7","7","7","7","7","7","7","7","7","7","7","0.5","0.5","0.5","0.5","","","","","","7",""
"Dorothea H. Robinson","","","7","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dorothea Irene Taylor","","","","","","","","","","","","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","","","","","","","","7",""
"Dorothy Brackett","","","7","7","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dorothy G. Wiehl","","","","","8","8","","","","","","","","","","","","","","","","","","","","","","",""
"Dorothy Henley","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","","","","","","",""
"Dorothy Mary White","","","","","","","","","","6","6","6","6","6","6","6","6","6","6","6","6","6","","","","","","",""
"Dorothy Sandys","7","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr.  Aldo Crosara","","","","8","8","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr.  Gerhard Krassa","","","","","","","","","","","","","8","","","","","","","","","","","","","","","",""
"Dr.  Ignatius Wasserberg","","","","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","","","","",""
"Dr.  Joost Adriaan van Hamel","9","9","9","9","9","9","9","9","","","","","","","","","","","","","","","","","","","","",""
"Dr.  Michel Ciuca","","","","","","","","","","","8","8","8","8","8","8","","","","8","8","8","","","","","","",""
"Dr.  Raymond Pierre Léon Gautier","","","","","","7","7","7, 9","9","9","9","9","9, 8","8","8","8","8","8","8","8","8, 9","9","","","","8","8","8",""
"Dr.  Yves Biraud","","","","","","","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8",""
"Dr. A. A. Koskenjaakko","","","","","","","","","","","","","8","","","","","","","","","","","","","","","",""
"Dr. Abel Romeo Castillo","","","","","","","","","","","","","8","","","","","","","","","","","","","","","",""
"Dr. Alexandre Roubakine","","","","","","","","","","","8","8","8","8","","","","","","","","","","","","","","",""
"Dr. Andrew Colman Gaal","","","","","","","","","8","8","8","8","8","8","8","","","","","","","","","","","","","",""
"Dr. Andrija Stampar","","","","","","","","","","","","","","","","","","8","8","","","","","","","","","",""
"Dr. Aristides Aquirre Sayago","","","","","","","8","8","","","","","","","","","","","","","","","","","","","","",""
"Dr. Arthur Kiessling","","","","","","","","","","8","","","","","","","","","","","","","","","","","","",""
"Dr. Berislas Borcic","","","","","","","","","","","","8","8","8","8","8","","","","","","","","","","","","",""
"Dr. Charles Leslie Park","","","","","","","","","","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8",""
"Dr. Czeslaw Wroczynski","","","","","","","","","","","","","","","","","8","8","","","","","","","","","","",""
"Dr. Edmond Privat","","","7, 8","8","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Emil Eugen Roesle","","","","","","","","","8","","","","","","","","","","","","","","","","","","","",""
"Dr. Erik Knaffl-Lenz","","","","","8","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Etienne Burnet","","","","","","","","","","8","8","8","8","8","8","8","8","8","","","","","","","","","","",""
"Dr. Ewald Tomanek","","","","","","8","8","8","8","8","8","8","8","8","8","8","","","","","","","","","","","","",""
"Dr. Frank Boudreau","","","","","","","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","","","","",""
"Dr. Franz Reuter","","","","","","","","","","","","","8","","","","","","","","","","","","","","","",""
"Dr. Frederick Norman White","","9, 8","9","9","9","9","9","9","9","9","9","9","9","9","9","9","","","","","","","","","","","","",""
"Dr. Fritz Foth","","","","","","","","","","","","","","8","","","","","","","","","","","","","","",""
"Dr. G. G.  Kullmann","","","","","","","","","","","","","8","8","8","8","8","8","8","8","","","","","","","","",""
"Dr. Genzo Katoh","","","","","","","","","","","8","8","8","8","8","8","","","","","","","","","","","","",""
"Dr. George Jean Claude Forestier","","","","","","","","","8","8","8","8","8","8","8","","","","","","","","","","","","","",""
"Dr. Giuseppe Druetti","","","","","8","8","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Hawkling Yen","","","8","8","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Hector Rulot","","","","8","8","8","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Henrik Kaestlin","","","","","","","","","","","","","","","","","","","8","","","","","","","","","",""
"Dr. Hiroshi Kusama","","","","","","","8","8","8","8","8","","","","","","","","","","","","","","","","","",""
"Dr. Hossein Khan Ghadimy","","","","","","","","","","","","","","","","","","","8","","","","","","","","","",""
"Dr. I. Kuhn","","","","","","8","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Ivan Brlic","","","","","","","","","","","","","","","","","","","8","","","","","","","","","",""
"Dr. Ivan Tomsic","","","","","","","","","","","","","","","","","8","","","","","","","","","","","",""
"Dr. Ivo Stern","","","","","","","","","","","","","8","","","","","","","","","","","","","","","",""
"Dr. Jiri Kasparek","","","","","","","","","","","","","","","","","","","8","","","","","","","","","",""
"Dr. Joseph Celarek","","","","","","","","","","","","","8","8","8","8","8","","","","","","","","","","","",""
"Dr. Jur. Thanassis (Athanase) Aghnides","8","8","8","8","8","8","8","8","8","8","8","8, 9","9","9","9","9","9","9","9","9","9, 10","10, 9","10, 9","10, 9","10, 9","10, 9","","",""
"Dr. Jy? Ruutu","","","","","","","","","","","","","","","","","","","8","","","","","","","","","",""
