"","name","avg_rank","sd_rank","median_rank","duration","entry_age","gender","nationality"
"955","Géraldine  Gough",8,0,8,12,26,"female","irish"
"956","Edouard  Gougler",7,0,7,25,31,"male","swiss"
"957","Marcelle Gouin",3,0,3,1,NA,"female","unknown"
"958","Violet Napier Bell",6,0,6,130,39,"female","british"
"959","Sybil Goulding",6,0,6,3,NA,"female","english"
"960","Gaston Goumaz",9,0,9,1,19,"male","swiss"
"961","Marie-Lina Goumaz-Bourquin",9,0,9,1,49,"female","swiss"
"962","Felix Auguste Goy",9,0,9,4,31,"male","swiss"
"963","Jules  Goy",8,0,8,98,25,"male","swiss"
"964","Maurice Goy",7,1.4142135623731,7,2,38,"male","french"
"965","Ernest Fernand Gozzelino",7,0,7,45,23,"male","swiss"
"966","Fernand Gozzi",7,0,7,39,20,"male","swiss"
"967","Rodolphe  Gozzi",7,0,7,3,21,"male","swiss"
"968","Georges Graf",7,0,7,6,51,"male","swiss"
"969","Winifred Beatrice Hine",7,1,7,7,45,"female","british"
"970","Dagny Gran",4,0,4,16,NA,"female","unknown"
"971","Captain Jean-Baptist Charles Grandiere",4,0,4,17,42,"male","french"
"972","Winifred Davies",6,0,6,1,NA,"female","british"
"973","Henri Grandjean",6,0,6,250,22,"male","swiss"
"974","Marguerite Alice Grandjean-Dubuis",6,0,6,1,28,"female","swiss"
"975","Antoine Grandouillet",6,0,6,40,32,"male","swiss"
"976","Jean de Granvillier",3,0,3,35,NA,"male","french"
"977","Joseph  Grasso",8,0,8,103,33,"male","italian"
"978","Norman Veitch Lothian",2,0,2,24,34,"male","british,british"
"979","Clémentine Gratpain",8,0,8,1,55,"female","french"
"980","Henri Grau",9,0,9,6,40,"male","swiss"
"981","Auguste Jacot",6,0,6,8,30,"male","british,swiss"
"982","Ernest John Graves",5,0,5,1,34,"male","english"
"983","Hilary Joyce Gray",6,0,6,2,19,"female","english"
"984","Dr. Louis Gray",3,0,3,NA,NA,"male","us-american"
"985","Gray",4,0,4,7,NA,"female","english"
"986","Rhoda Green",7,0,7,NA,NA,"female","unknown"
"987","Walter Charles Greenaway",7,0,7,3,16,"male","english"
"988","Berthe Edith Greiler",8,0,8,1,31,"female","swiss"
"989","Louise Gremion",9,0,9,1,NA,"female","swiss"
"990","Euthyme Robef",6,0,6,3,41,"male","bulgarian"
"991","Lilly Stoiloff",6,0,6,5,36,"female","bulgarian"
"992","Ann E. Walbridge",6,0,6,1,39,"female","canadian"
"993","Hermann Grieder",9,0,9,9,29,"male","swiss"
"994","Lucie Griessner",7,0,7,39,17,"female","austrian"
"995","Gwynneth Davy",6,0,6,1,NA,"female","canadian"
"996","Jean Pierre Chevassu",6,0,6,1,NA,"male","canadian"
"997","John Posomby Griffin",3,0,3,115,27,"male","english"
"998","Nora Wilson Johnstone née Ruttle",6,0,6,78,25,"female","canadian"
"999","Elsie Bransom Griffiths",8,0,8,77,25,"female","english"
"1000","Norah M. Eyre",6,0,6,1,NA,"female","canadian"
"1001","Rose  Grillon",8,0,8,10,21,"female","french"
"1002","Alfred Grimm",8,0,8,4,32,"male","swiss"
"1003","Percy Corbett",3,0,3,13,NA,"male","canadian"
"1004","Jane Emily Grimston",3,0,3,27,43,"male","english"
"1005","George Martin Grisé",7,0,7,1,20,"male","swiss"
"1006","Phyllis Joan Grisé",7,0,7,1,18,"female","swiss"
"1007","Dr. Aristides Aquirre Sayago",2,0,2,13,43,"male","chilean"
"1008","Dr. Tsefang Huang",2,0,2,36,31,"male","chinese"
"1009","Caridad Capaz",6,0,6,267,22,"female","cuban"
"1010","Dr. Ewald Tomanek",2,0,2,127,40,"male","czech"
"1011","Elie Jules Antoine Grivel",9,0,9,55,33,"male","swiss"
"1012","Emilie Beránková",6,0,6,2,28,"female","czech"
"1013","Guiseppe Martorana",6,0,6,1,31,"male","italian"
"1014","Jamila Bergmannova",6,0,6,25,27,"female","czech"
"1015","Milada Kralova",6,0,6,1,38,"female","czech"
"1016","Marcel Grivel",7,0,7,14,24,"male","swiss"
"1017","Maurice Grivel",1,0,1,31,NA,"male","swiss"
"1018","Henri Grobet",9,0,9,1,36,"male","swiss"
"1019","André Grobety",9,0,9,110,31,"male","swiss"
"1020","Marguerite Grodwohl",6.5,0.707106781186548,6.5,193,15,"female","swiss"
"1021","Johannes Groenewold",7,0,7,1,21,"male","dutch"
"1022","Olga Berankova",5,1.4142135623731,5,74,25,"female","czech"
"1023","Zdena Jelinkova",6,0,6,NA,NA,"female","czech"
"1024","James Grosclaude",9,0,9,1,47,"male","swiss"
"1025","Claude Grosgurin",6,0,6,1,24,"male","swiss"
"1026","Dorrit Ree",6,0,6,9,29,"female","dane"
"1027","Charles Grouse",6,0,6,1,43,"male","english"
"1028","Ernest Groux",9,0,9,1,45,"male","swiss"
"1029","Maurice  Gruner",8,0,8,1,23,"male","swiss"
"1030","Theophile Gschwind",9,0,9,1,NA,"male","swiss"
"1031","Paul Guerie",6,0,6,1,38,"male","french"
"1032","Gabrielle Juncker-Rohde",4,2.82842712474619,4,208,24,"female","dane"
"1033","Georges Guerin",6,0,6,121,48,"male","french"
"1034","Charles Gugelmeier",5,0,5,1,41,"male","german"
"1035","Charles Guglielmetti",8,0,8,51,36,"male","swiss"
"1036","Germaine  Guibentif-Privat",6,0,6,1,26,"female","swiss"
"1037","Jean-Pierre Guignard",7,0,7,1,23,"male","swiss"
"1038","Emile Guignet",9,0,9,151,32,"male","swiss"
"1039","Signe Johanne Andersen",5.2,1.6431676725155,6,70,24,"female","dane"
"1040","Laurence Ramaker",7,1.4142135623731,7,15,25,"female","dutch"
"1041","Maria Zwantje Neeltje Witteveen",5.5,2.12132034355964,5.5,115,27,"female","dutch"
"1042","Netty de Vink",6,0,6,1,NA,"female","dutch"
"1043","A. J. Goldberry",3,0,3,NA,NA,"male","english"
"1044","Claude William Guilleraud",3,0,3,46,31,"male","english"
"1045","Jorge Guillen",3,0,3,1,NA,"male","unknown"
"1046","A.M. Roach",9,0,9,1,NA,"female","english"
"1047","Ada Readhead",9,0,9,18,NA,"female","english"
"1048","Agnes Driscoll",6,0,6,5,NA,"female","english"
"1049","Agnes Henderson Meldrum née Archibald",6,0,6,90,26,"female","english"
"1050","Berthe Guillermin",7,0,7,1,42,"female","swiss"
"1051","Georges Guillermin",6,0,6,205,36,"male","swiss"
"1052","Louisa Henriette Guillot",7,0,7,32,22,"female","swiss"
"1053","Robert Louis Guillotel",3.6,1.34164078649987,3,34,23,"male","french"
"1054","Vincent Guilloton",3,0,3,6,26,"male","french"
"1055","Jacques André William Guilloux",3,0,3,1,34,"male","french"
"1056","Jean William Guiton",6,0,6,1,19,"male","french"
"1057","Alois Gutknecht",7,0,7,1,NA,"male","swiss"
"1058","Aileen Mary Roberts",6,0,6,78,27,"female","english"
"1059","Airlie Margaret Isabel Moss",6,0,6,2,40,"female","english"
"1060","Albert Stephen Guyer",5,0,5,5,25,"male","english"
"1061","Robert Gyger",9,0,9,109,32,"male","swiss"
"1062","Blanche Lydie Gygi",8,0,8,1,37,"female","swiss"
"1063","Carlile Aylmer MacCartney",3,0,3,2,32,"male","english"
"1064","Elaine MacDonald",5.5,1,6,2,43,"female","english"
"1065","Aislice Colin Pharall",8,0,8,1,30,"female","english"
"1066","Elwyn Margaret MacFarlane née Steedman",7.5,1,8,-1,32,"female","english"
"1067","Constantine Francis MacGuire",4.66666666666667,2.3094010767585,6,194,33,"male","irish"
"1068","Alexandra Solar",6,0,6,24,34,"female","english"
"1069","Mr. Miodrag Ibrovak",2,0,2,1,NA,"male","yugoslav"
"1070","Alexandre Veitch",5,0,5,20,28,"male","english"
"1071","Mr. Masao Ichimata",7,0,7,63,23,"male","unknown"
"1072","Maria Juliette Macheret",8,0,8,178,21,"female","swiss"
"1073","Monique Macheret",7.5,0.707106781186548,7.5,113,20,"female","swiss"
"1074","Mackinder",7,0,7,1,NA,"female","english"
"1075","Ian Maclean",5,0,5,2,29,"male","english"
"1076","Alice Mary Vinter",6,0,6,122,37,"female","english"
"1077","Irene Alice Macnab",6.33333333333333,0.577350269189626,6,201,40,"female","english"
"1078","Paul Marcel Léonard Macullo",7,0,7,1,19,"male","swiss"
"1079","William David Macafee",3,0,3,136,39,"male","english"
"1080","Alphonse Descombes",3,0,3,1,44,"male","english"
"1081","Amy Buck",6,0,6,1,22,"female","english"
"1082","Emily Margaret McDonald",4.2,1.30384048104053,4,-6,33,"female","english"
"1083","Amy Luxton Bridgman",6,0,6,1,49,"female","english"
"1084","Frank Mceachran",3,0,3,1,29,"male","english"
"1085","Mary Agnes Craig Mcgeachy",5,1.4142135623731,5,145,27,"female","canadian"
"1086","Lena McGowan",7,0,7,15,NA,"female","unknown"
"1087","Angela Viveash",8,0,8,1,NA,"female","english"
"1088","Annie Kathleen Webb",6,0,6,11,36,"female","english"
"1089","Maisie Mckay",8,0,8,1,NA,"female","english"
"1090","Kathleen Jane Mckinn",3,0,3,1,46,"female","english"
"1091","Olive Rattray Mclaren",8,0,8,2,26,"female","english"
"1092","Annie Smith",6,0,6,23,25,"female","english"
"1093","Annie Spencer Dowdeswell",6,0,6,8,NA,"female","english"
"1094","Arthur Henry Budden",6,0,6,74,49,"male","english"
"1095","Grace Mcnicol",6,0,6,3,37,"female","english"
"1096","Elisa Mader",7,0,7,1,17,"female","swiss"
"1097","Paul Joseph Maeder",8,0,8,179,26,"male","swiss"
"1098","Theo Maes",7,0,7,1,18,"male","dutch"
"1099","Emile Magistris",6.66666666666667,1.15470053837925,6,175,26,"male","swiss"
"1100","Georges Magnenat",7.8,1.09544511501033,7,75,19,"male","swiss"
"1101","Jeanne Magnin",9,0,9,1,40,"female","swiss"
"1102","Octave  Magnin",7,0,7,52,20,"male","swiss"
"1103","Magnus",2,0,2,1,NA,"male","unknown"
"1104","Audrie Helen Thomas",6,0,6,1,32,"female","english"
"1105","Louis Maire",3,0,3,4,22,"male","swiss"
"1106","Anna Maitret",6,0,6,48,18,"female","french"
"1107","Emile Léon Majerus",6,0,6,25,27,"male","luxembourgish"
"1108","Paul Makay",3,0,3,178,35,"male","hungarian"
"1109","D.  Hollins",6,0,6,NA,NA,"female","british"
"1110","Barbara Greves",6,0,6,1,NA,"female","english"
"1111","Jean Gordon Home",6,0,6,6,29,"female","british"
"1112","Mallinson",7,0,7,1,NA,"female","english"
"1113","Mary Hilda Mallon",7.66666666666667,0.577350269189626,8,229,29,"female","english"
"1114","Barbara Naomi Abensur",6,0,6,218,20,"female","english"
"1115","Maria-Renata Manassewitsch",6,0,6,4,25,"female","swiss"
"1116","Joseph Louis Gustave Manchon",3,0,3,13,48,"male","french"
"1117","Henri Charles Claude Jacob van der Mandere",3,0,3,220,36,"male","dutch"
"1118","Beatrice Eleanor Allpress",3,0,3,105,37,"female","english"
"1119","André Marius Manini",9,0,9,12,25,"male","swiss"
"1120","Albert Manser",9,0,9,36,38,"male","swiss"
"1121","Della Mary Mansfield",6,0,6,28,27,"female","english"
"1122","Roussia Mansvetoff",8,0,8,139,28,"female","swiss"
"1123","Jean Mantel",9,0,9,48,30,"male","swiss"
"1124","Adolf Manteuffel",8,0,8,36,41,"male","german"
"1125","Edmond Marc",6,0,6,5,28,"male","lithuanian"
"1126","Francoise Marchand",6,0,6,148,24,"male","swiss"
"1127","Jeanne Marchand",6.5,0.707106781186548,6.5,13,26,"female","swiss"
"1128","René Francois  Marchand",9,0,9,5,31,"male","swiss"
