"name","avg_rank","sd_rank","median_rank","duration","entry_age","gender","nationality"
"Bruno Brivonesi",2,0,2,88,38,"male","italian"
"Marc Chavannes",2,0,2,1,NA,"male","swiss"
"Ali Chaygan",2,0,2,1,NA,"male","persian"
"Yin Fun Cheng",2,0,2,86,27,"male","chinese"
"Luigi Chiappelli",2,0,2,18,42,"male","italian"
"Count Camillo Spingardi",2,0,2,12,28,"male","italian"
"Tsan-Quo Chou",2,0,2,10,53,"male","chinese"
"Dr. Andrija Stampar",2,0,2,1,49,"male","yugoslav"
"Becky Lubich",6,0,6,1,35,"female","british"
"W. E. H. Stanner",2,0,2,1,NA,"male","unknown"
"Joseph Gabriel Starke",2,0,2,63,24,"male","australian"
"Rasmus Stauri",2,0,2,1,NA,"male","norwegian"
"Reverend Jacob Steen Narvig",2,0,2,1,NA,"male","norwegian"
"Juan Stefanich",4,0,4,58,38,"male","paraguayan"
"Léon Steinig",2,0,2,197,32,"male","austrian"
"Maria Elisabeth Ottilia de Steller",2,0,2,61,37,"female","hungarian"
"Valentin Joseph Stencek",1.66666666666667,0.577350269189626,2,316,37,"male","czech"
"Greta Stendahl",2,0,2,1,NA,"female","swedish"
"Dr. Ivo Stern",2,0,2,1,NA,"male","yugoslav"
"Michael Stewart",2,0,2,1,NA,"male","english"
"Jan H. Steyn",2,0,2,107,NA,"male","south_african"
"Brian Lunn",3,0,3,2,NA,"male","british"
"Herman Stolpe",2,0,2,1,NA,"male","swedish"
"Pietro Angelo Stoppani",1.6,0.547722557505166,2,228,41,"male","italian"
"Catherine Barbara Kent",6,0,6,1,29,"female","british"
"Dr. Knud Stouman",2.5,0.707106781186548,2.5,1,55,"male","dane"
"Tadeuz Strzetelski",2,0,2,1,NA,"male","polish"
"A. M. Stuyt",2,0,2,1,NA,"male","dutch"
"Giacomo Constantin  Stuyt",2,0,2,36,28,"male","dutch"
"Alfred von Suchan",2,0,2,183,36,"male","austrian"
"Yotaro Sugimura",1,0,1,74,43,"male","unknown"
"Lanka Sundaram",2,0,2,1,NA,"male","indian"
"Nancy E. Sutherland",2,0,2,1,NA,"female","british"
"Højbjerg Christensen",2,0,2,1,NA,"male","dane"
"Pao-Hsien Chu",2,0,2,1,NA,"male","chinese"
"Janis Cimmermans",2,0,2,1,NA,"male","latvian"
"Cecil Frank Clifford Davis",5,0,5,1,NA,"male","british"
"Charles Henry Le Bosquet",3,0,3,189,29,"male","british"
"Henri Cochaux",2,0,2,1,NA,"male","unknown"
"Denis Joseph Coffey",2,0,2,1,28,"male","irish"
"Diana Cohen",2,0,2,NA,NA,"female","unknown"
"M. Swetovksi",2,0,2,1,NA,"male","russian"
"Charles Watson Dawson",6,0,6,133,34,"male","british"
"Konstanty Symonolewicz",2,0,2,1,NA,"male","polish"
"Edward Laaman",2,0,2,1,NA,"male","estonian"
"Nicolas Henri Lahovary",2,0,2,11,33,"male","romanian"
"Berthe de Lalieux de la Rocq",2,0,2,1,NA,"female","unknown"
"Henri Gustave Lamba",2,0,2,61,58,"male","french"
"Pierre Combret de Lanux",4,0,4,121,37,"male","french"
"R.T.E. Latham",2,0,2,1,NA,"male","english"
"W. Layton",1,0,1,1,NA,"male","english"
"Leclercq",2,0,2,14,NA,"male","unknown"
"Essy Hjördis Lehmann",4.4,1.67332005306815,4,217,28,"female","swedish"
"Sean Lester",1,0,1,126,49,"male","irish"
"Tse-Tsuen Liang",4,0,4,39,38,"male","chinese"
"Tsong Tai Liang",2,0,2,1,NA,"male","chinese"
"Dzeh-djen Li",2,0,2,1,NA,"female","chinese"
"Albéric Limpens",2,0,2,2,NA,"male","unknown"
"John Lindberg",2,0,2,20,36,"male","swedish"
